Company,Skills,Experience
"157 Careers
     (More Jobs)","reactjs,reactnative,vuejs,nodejs","4 - 9 yrs
₹Rs 5.00 - 30.00 Lacs p.a.

location_on
Pune"
torcai digital media private limited,"testing,systemtesting,SeniorSoftwareDeveloper","0 - 3 yrs

location_on
Pune"
TandA HR Solutions,"c,c,linuxprogramming,restapi,machinelearning,seniorsoftwaredeveloper,debugging","6 - 8 yrs

location_on
Pune"
TIBCO Software India Pvt Ltd,"algorithms,sql,databasemanagement,java,seniorsoftwaredeveloper,datastructures,rest,tibco,problemsolving,teamplayer,interconnect,productdelivery,soap","7 - 10 yrs

location_on
Pune"
VIPsWallet Pvt Ltd,"c#,css,.netdeveloper,entityframework,ajax,javascript,jquery,linq,seniorsoftwaredeveloper,xml,asp.net,.net,webapi,html,mvc,technicalskills,c#.net","2 - 8 yrs

location_on
Pune"
Exela Technologies,"html5,jdbc,jee,bootstrap,hibernate,ajax,jquery,apachetomcat,sql,memorymanagement,java,git,springmvc,seniorsoftwaredeveloper,xml,oops,multithreading,eclipseide,maven,ant,svn,javascript,javadeveloper,messaging,springframework,writtencommunication,struts","5 - 7 yrs

location_on
Pune"
E-QL Business Solutions,"birt,itext,jasperreports,wicket,database,java,apache,postgresql,j2ee,jsf","2 - 5 yrs

location_on
Pune"
Iqvia,"RubyonRails,Python,React,Ember","3 - 5 yrs

location_on
Cochin/ Kochi/ Ernakulam,  Pune,  Bengaluru / Bangalore"
FIS GLOBAL BUSINESS SOLUTIONS INDIA PVT. LTD,"jquery,security,xml,json,webapi,mvcframework,rest,linq,.net,c#.net","0 - 3 yrs

location_on
Gurgaon,  Pune"
FIS GLOBAL BUSINESS SOLUTIONS INDIA PVT. LTD,"jquery,security,xml,json,webapi,mvcframework,rest,linq,.net,c#.net","0 - 3 yrs

location_on
Pune,  Bengaluru / Bangalore"
E-QL Business Solutions,"c#,asp.net,mvc,vb.net","2 - 5 yrs

location_on
Pune"
dnvgl,"informationtechnology,storage,security,seniorsoftwaredeveloper,devops,c#,rest,cloudservices,solutionarchitect,asp.net,messaging,linq,sqldatabase","5 - 8 yrs

location_on
Pune"
Pattem Digital Technologies,"sql,git,seniorsoftwaredeveloper,devops,microsoft.net,asp.net,webdevelopment,webapi,mvc,crm,c#,javascript,.net","0 - 3 yrs

location_on
Pune,  Bengaluru / Bangalore"
TandA HR Solutions,"rest,python,java,seniorsoftwaredeveloper,mongodb,javascript,sql","6 - 9 yrs

location_on
Pune"
TandA HR Solutions,"git,seniorsoftwaredeveloper,softwareengineer,softwaredeveloper,juniorsoftwareengineer,javascript,javadeveloper","6 - 9 yrs

location_on
Pune"
Amdocs Development Center India Pvt. Ltd.,"docker,java,devops,seniorsoftwaredeveloper,mediation,mobile,javadeveloper,springboot","3 - 5 yrs

location_on
Pune"
"ASTRAZEN TECHNOLOGIES PRIVATE LIMITED
     (More Jobs)","MsSqlServer,ASP.netWeb,TSQL,MSSqlServer,MSSqlServer,MSSqlServer,ASP.netc#SQL,MSSqlServer,MSSqlServer,SQLServer,ASP.net,WebServices,Mongodb","4 - 9 yrs

location_on
Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Kolkata,  Pune"
Tintri,"css,seniorsoftwareengineer,java,webdevelopment,html,api,bigdata,pl/sql,python,ubuntu,javascript,nosql,cassandra,algorithms,datamining,storage,sql,security,database,git,seniorsoftwaredeveloper,linux,debian,hadoop,cloudcomputing,os,fedora,cloudstorage","7 - 10 yrs

location_on
Pune,  Bengaluru / Bangalore"
